,id,created_at,acknowledged_at,closed_at,address,lat,lng,description,status,summary,media_image_full,request_type_id,request_type_title
0,4281975,2018-03-28T18:08:54-04:00,2018-03-28T18:09:18-04:00,,"510 1/2 Tilden St Raleigh, NC 27605, USA",35.790828704834,-78.6453247070312,506 tilden,Acknowledged,Sidewalk Repair,https://seeclickfix.com/files/issue_images/0099/7580/1522274925080.jpg,21091,Sidewalk Repair
1,4281781,2018-03-28T16:36:30-04:00,,,"Buck Jones At Farmgate Traffic Circle Raleigh, North Carolina",35.7742914,-78.7349692,PLEASE ADD LIGHTING,Open,Other,,15012,Other
2,4281745,2018-03-28T16:19:32-04:00,,,"1511 Glenwood Ave Raleigh, NC 27608, USA",35.7994881378118,-78.6462330445647,"clogged storm drain, large water back
up in road during rains


",Open,storm drain,,15012,Other
3,4281303,2018-03-28T14:27:22-04:00,2018-03-28T14:27:29-04:00,,"100 E Six Forks Road Raleigh, North Carolina",35.8221989,-78.6319831,Fallen tree covering sidewalk.,Acknowledged,Fallen tree covering sidewalk,,7341,Trees
4,4281296,2018-03-28T14:24:11-04:00,2018-03-28T14:24:32-04:00,,"2535 Atlantic Avenue Raleigh, North Carolina",35.8169953,-78.6171698,Vegetation hanging over the sidewalk and under the railroad bridge is blocking sight pulling out onto Six Forks Road before the intersection of Six Forks Road and Atlantic Avenue.  A collision just occurred today due to this problem.,Acknowledged,Traffic Visual Obstruction,https://seeclickfix.com/files/issue_images/0099/7367/obstrucrion.jpg,7342,Traffic Visual Obstruction
5,4281045,2018-03-28T13:09:16-04:00,,,"1789-1809 South Saunders Street Raleigh, North Carolina",35.7565499426362,-78.6489479220783,"One of your Public Utilities  staff was observed veering out of their lane & driving/acting erratically on numerous occasions this morning @ around 8:45AM.  He was in vehicle # 3315.  He appeared to either be impaired, distracted, or otherwise unable to safely operate the vehicle/trailer he was driving.",Open,Other,,15012,Other
6,4281000,2018-03-28T13:02:03-04:00,2018-03-28T13:02:09-04:00,2018-03-28T15:31:04-04:00,"1607 Wake Forest Road Raleigh, North Carolina",35.8007976168815,-78.6252639730163,Pothole ~10 inches deep at the intersection of Wake Forest road and the Capital Boulevard North Bound exit Ramp.. Right across from the Circus restaurant. Located in the left-most left turn lane. ,Closed,Pothole,,7330,Pothole
7,4280968,2018-03-28T12:51:17-04:00,,,"4133 Elkton Dr Raleigh, North Carolina",35.7278653,-78.5395764,A lawn care company threw plastic bags with a rock and a flyer into the yard of every house in the neighborhood as well as homes along Battle Bridge Rd and Rock Quarry Rd. ,Open,Litter,https://seeclickfix.com/files/issue_images/0099/7269/image.jpg,15012,Other
8,4280766,2018-03-28T12:07:44-04:00,,,"Springfield Creek And Rothfield Drive Raleigh, North Carolina",35.8796396,-78.5079307,"This vehicle has been abandoned for months. The  license plate that is on the vehicle was ran and comes back to a 1996 Ford Ranger not  this vehicle. Tires are flat, mold growing on side of car",Open,Abandoned Vehicle,https://seeclickfix.com/files/issue_images/0099/7203/white_car.jpg,14427,Abandoned Vehicle
9,4280648,2018-03-28T11:41:49-04:00,,,"3909 South Wilmington Street Raleigh, North Carolina",35.7264794552437,-78.6490549213798,This section of S Wilmington St from Mechanical Blvd to Chapanoke Rd is full of litter.,Open,Litter,,15012,Other
10,4279998,2018-03-28T08:52:29-04:00,2018-03-28T08:52:35-04:00,,"Pleasant Valley & Millbrook Raleigh, North Carolina",35.8626885,-78.6980869,,Acknowledged,Traffic Signal,,7339,Traffic Signal
